filename,category,caption,location,country,homepage_featured,category_featured,country_featured
colombia-jardin-street-01.jpg,street,Basilica Menor de la Inmaculada Concepcion on Dia de las Velitas,Jardin,Colombia,0,0,0
colombia-jardin-street-02.jpg,street,Dia de las Velitas on the steps of Basilica Menor de la Inmaculada Concepcion,Jardin,Colombia,0,2,0
colombia-jardin-street-03.jpg,street,Dia de las Velitas and drinks in small town Colombia,Jardin,Colombia,0,0,0
colombia-jardin-street-04.jpg,street,Kid popping a wheelie on Dia de las Velitas,Jardin,Colombia,0,0,0
colombia-jardin-street-05.jpg,street,Gathering around a candel on Dia de las Velitas,Jardin,Colombia,0,3,0
colombia-jardin-street-06.jpg,street,Watching the crowds at Parque Principal de Jardin,Jardin,Colombia,0,4,0
colombia-jardin-street-07.jpg,street,Colorful candles lining the street for Dia de las Velitas,Jardin,Colombia,0,0,0
colombia-jardin-street-08.jpg,street,Crowds gathering at Parque Principal de Jardin,Jardin,Colombia,0,0,0
colombia-jardin-street-09.jpg,street,Jardin's colorful streets,Jardin,Colombia,0,0,0
colombia-jardin-street-10.jpg,street,Colorful building along streets,Jardin,Colombia,0,0,0
colombia-jardin-street-11.jpg,street,Horse riding near Parque Principal de Jardin,Jardin,Colombia,0,0,0
colombia-jardin-street-12.jpg,street,Basilica Menor de la Inmaculada Concepcion as the sun sets,Jardin,Colombia,0,2,0
colombia-jardin-street-13.jpg,street,Colorful building lining the road that leads to the Basilica Menor de la Inmaculada Concepcion,Jardin,Colombia,0,0,0
colombia-jardin-street-14.jpg,street,Side streets of Jardin,Jardin,Colombia,0,0,0
colombia-jerico-street-01.jpg,street,Street food at Parque Principal de Jerico,Jerico,Colombia,0,0,0
colombia-jerico-street-02.jpg,street,Child playing with Santa at Parque Principal de Jerico,Jerico,Colombia,0,3,0
colombia-jerico-street-03.jpg,street,Parque Principal de Jerico lite up with Christmas lights,Jerico,Colombia,0,0,0
colombia-jerico-street-04.jpg,street,Feliz Navidad Christmas lights,Jerico,Colombia,0,0,0
colombia-jerico-street-05.jpg,street,2026 Christmas decorations,Jerico,Colombia,0,2,0
colombia-jerico-street-06.jpg,street,Christmas wreath lite up,Jerico,Colombia,0,4,0
colombia-jerico-street-07.jpg,street,Navidad Christmas decoration in Parque Principal de Jerico,Jerico,Colombia,0,0,0
colombia-jerico-street-08.jpg,street,Looking down on las 80 escalas,Jerico,Colombia,0,0,0
colombia-jerico-street-09.jpg,street,Christmas stockings with Catedral de Nuestra Senora de las Mercedes in the background,Jerico,Colombia,0,0,0
colombia-jerico-nature-10.jpg,nature,Jerico from Cristo Redentor hill,Jerico,Colombia,0,0,0
colombia-jerico-nature-11.jpg,nature,Cristo Redentor overlooking Jerico,Jerico,Colombia,0,3,0
colombia-jerico-nature-12.jpg,nature,Cristo Redento and Jerico sign,Jerico,Colombia,0,2,0
